,Region,Incident ID,Incident Type,Full Location ,Start Date,Start Time,Duration ICT,Lanes Blocked,Blockage Duration RCT,Response Time,"Rural/
Urban",Key ,County,Interstate,Route,Direction,Unnamed: 16,Description,Inc MM,Latitude,Longitude,Severity Lanes,Severity Duration,Severity,Temp,Prec,Condition,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description,icon,stations,geometry
1901,3,3243,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 211.6",2020-12-06,12:40:22 AM,338,1,19,0,Urban,2025,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 211.6          ,211.6,36.15117,-87.750837,Level 2,Level 1,Level 1,34.2,0.0,Clear,nashville tennessee,2020-12-06,57.4,30.3,42.7,57.4,30.3,41.5,34.3,74.28,0.0,0.0,0.0,0.0,23.0,13.7,120.9,1014.9,56.3,7.5,2020-12-06T06:44:34,2020-12-06T16:32:12,0.67,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-87.750837 36.15117)
1938,3,3301,Vehicle Fire,"RUTHERFORD on Interstate 24 Eastbound, At MILE MARKER 77.6",2020-12-06,4:10:49 PM,"1,317",0,0,0,Urban,2070,RUTHERFORD,I-24E,I-24,Eastbound,At,MILE MARKER 77.6          ,77.6,35.85397238,-86.4425956,Level 1,Level 1,Level 1,55.6,0.0,Clear,nashville tennessee,2020-12-06,57.4,30.3,42.7,57.4,30.3,41.5,34.3,74.28,0.0,0.0,0.0,0.0,23.0,13.7,120.9,1014.9,56.3,7.5,2020-12-06T06:44:34,2020-12-06T16:32:12,0.67,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.4425956 35.85397238)
2086,3,3516,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Beyond MILE MARKER 43.8",2020-12-08,1:36:48 PM,303,0,0,0,Urban,2235,DAVIDSON,I-24W,I-24,Westbound,Beyond,MILE MARKER 43.8          ,43.8,36.23388271,-86.78489065,Level 1,Level 1,Level 1,42.9,0.0,Clear,nashville tennessee,2020-12-08,43.5,30.4,38.0,43.5,26.5,36.7,28.2,68.14,0.0,0.0,0.0,0.0,,6.0,126.6,1021.5,69.0,9.6,2020-12-08T06:46:13,2020-12-08T16:32:20,0.78,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.78489064999999 36.23388271)
2115,3,3547,Vehicle Fire,"ROBERTSON on Interstate 24 Eastbound, Beyond MILE MARKER 27",2020-12-08,6:37:40 PM,188,1,179,7,Urban,2265,ROBERTSON,I-24E,I-24,Eastbound,Beyond,MILE MARKER 27          ,27.0,36.38008517,-86.991872,Level 2,Level 3,Level 3,37.9,0.0,Clear,nashville tennessee,2020-12-08,43.5,30.4,38.0,43.5,26.5,36.7,28.2,68.14,0.0,0.0,0.0,0.0,,6.0,126.6,1021.5,69.0,9.6,2020-12-08T06:46:13,2020-12-08T16:32:20,0.78,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.991872 36.38008517)
2149,3,3597,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, At MILE MARKER 209.2",2020-12-09,8:13:55 AM,26,2,14,0,Urban,2302,DAVIDSON,I-40W,I-40,Westbound,At,MILE MARKER 209.2          ,209.2,36.15390465,-86.7881141,Level 3,Level 1,Level 1,34.5,0.0,Clear,nashville tennessee,2020-12-09,65.3,30.4,45.7,65.3,28.0,44.5,32.0,63.58,0.0,0.0,0.0,0.0,16.1,10.0,206.6,1017.8,23.7,8.8,2020-12-09T06:47:00,2020-12-09T16:32:28,0.84,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.7881141 36.15390465)
2198,3,3664,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 90.4",2020-12-09,4:08:09 PM,337.2833333,0,12.8,1.416666667,Urban,2354,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 90.4          ,90.4,36.25867769,-86.73836115,Level 1,Level 1,Level 1,64.0,0.0,Clear,nashville tennessee,2020-12-09,65.3,30.4,45.7,65.3,28.0,44.5,32.0,63.58,0.0,0.0,0.0,0.0,16.1,10.0,206.6,1017.8,23.7,8.8,2020-12-09T06:47:00,2020-12-09T16:32:28,0.84,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.73836115 36.25867769)
2214,3,3683,Vehicle Fire,"ROBERTSON on Interstate 24 Eastbound, Before MILE MARKER 18",2020-12-09,7:38:52 PM,220,0,0,0,Urban,2371,ROBERTSON,I-24E,I-24,Eastbound,Before,MILE MARKER 18          ,18.0,36.46075824,-87.11622283,Level 1,Level 1,Level 1,51.3,0.0,Clear,nashville tennessee,2020-12-09,65.3,30.4,45.7,65.3,28.0,44.5,32.0,63.58,0.0,0.0,0.0,0.0,16.1,10.0,206.6,1017.8,23.7,8.8,2020-12-09T06:47:00,2020-12-09T16:32:28,0.84,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-87.11622283 36.46075824)
2367,3,3903,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 201.6",2020-12-11,5:52:39 PM,3,0,0,0,Urban,2547,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 201.6          ,201.6,36.13586784,-86.89302191,Level 1,Level 1,Level 1,60.8,0.0,Clear,nashville tennessee,2020-12-11,64.9,38.0,54.0,64.9,34.7,53.1,42.1,64.91,0.0,0.0,0.0,0.0,20.8,15.3,160.7,1017.2,42.1,9.8,2020-12-11T06:48:31,2020-12-11T16:32:48,0.94,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.89302191 36.13586784)
2546,3,4132,Vehicle Fire,"ROBERTSON on Interstate 24 Westbound, Before MILE MARKER 27",2020-12-14,5:22:41 AM,545,2,25,0,Urban,2746,ROBERTSON,I-24W,I-24,Westbound,Before,MILE MARKER 27          ,27.0,36.38008517,-86.991872,Level 3,Level 1,Level 1,38.4,0.07,Rain,nashville tennessee,2020-12-14,41.6,31.4,36.6,36.1,24.9,29.8,31.0,80.37,0.95,29.17,0.0,0.0,27.8,14.5,231.3,1022.3,100.0,9.1,2020-12-14T06:50:38,2020-12-14T16:33:33,1.0,Rain,Cloudy skies throughout the day with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.991872 36.38008517)
2687,3,4321,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, At MILE MARKER 48.4",2020-12-15,6:07:00 PM,29,1,27,1,Urban,2897,DAVIDSON,I-24W,I-24,Westbound,At,MILE MARKER 48.4          ,48.4,36.13440798,-86.72702912,Level 2,Level 1,Level 1,44.7,0.0,Clear,nashville tennessee,2020-12-15,45.6,30.4,38.6,44.0,23.2,34.1,29.8,70.85,0.0,4.17,0.0,0.0,15.0,9.8,76.8,1021.2,81.2,9.9,2020-12-15T06:51:18,2020-12-15T16:33:52,0.0,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.72702912 36.13440798)
3346,3,5163,Vehicle Fire,"DAVIDSON on Interstate 440 Eastbound, Before MILE MARKER 5.2",2020-12-22,8:04:45 PM,124,0,0,3,Urban,3618,DAVIDSON,I-440E,I-440,Eastbound,Before,MILE MARKER 5.2          ,5.2,36.117913,-86.768498,Level 1,Level 1,Level 1,41.8,0.0,Clear,nashville tennessee,2020-12-22,54.6,36.9,46.5,54.6,34.2,45.1,27.2,48.06,0.0,0.0,0.0,0.0,13.9,8.5,166.2,1024.0,2.8,9.9,2020-12-22T06:55:13,2020-12-22T16:36:55,0.28,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.76849799999999 36.117913)
3467,3,5298,Vehicle Fire,"DAVIDSON on Interstate 440 Westbound, At EXIT 5: I-65 N / NASHVILLE / I-65 S / HUNTSVILLE",2020-12-24,5:43:19 AM,240,0,6,1,Rural,3747,DAVIDSON,I-440W,I-440,Westbound,At,EXIT 5 I-65 N / NASHVILLE / I-65 S / HUNTSVILLE  ,5.0,36.116555,-87.771322,Level 1,Level 1,Level 1,44.2,0.0,Clear,nashville tennessee,2020-12-24,49.9,25.0,36.2,47.6,15.3,28.2,25.5,66.0,0.32,20.83,0.0,0.0,31.7,16.9,288.7,1012.1,98.0,9.2,2020-12-24T06:56:05,2020-12-24T16:38:03,0.37,Rain,Cloudy skies throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-87.771322 36.116555)
3499,3,5341,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 40",2020-12-24,12:45:06 PM,11,1,4,0,Urban,3787,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 40          ,40.0,36.28283172,-86.80521183,Level 2,Level 1,Level 1,33.3,0.0,Clear,nashville tennessee,2020-12-24,49.9,25.0,36.2,47.6,15.3,28.2,25.5,66.0,0.32,20.83,0.0,0.0,31.7,16.9,288.7,1012.1,98.0,9.2,2020-12-24T06:56:05,2020-12-24T16:38:03,0.37,Rain,Cloudy skies throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.80521183 36.28283172)
3755,3,5648,Vehicle Fire,"WILLIAMSON on Interstate 840 Westbound, Beyond MILE MARKER 20.8",2020-12-28,11:38:42 AM,184,2,171,0,Urban,4066,WILLIAMSON,I-840W,I-840,Westbound,Beyond,MILE MARKER 20.8          ,20.8,35.81607165,-87.02662384,Level 3,Level 3,Level 3,48.8,0.0,Clear,nashville tennessee,2020-12-28,53.7,33.7,47.4,53.7,29.4,45.2,33.1,58.43,0.0,0.0,0.0,0.0,29.2,19.3,227.9,1025.4,67.4,9.9,2020-12-28T06:57:28,2020-12-28T16:40:38,0.49,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-87.02662384 35.81607165)
3787,3,5685,Vehicle Fire,"DAVIDSON on Interstate 440 Westbound, At EXIT 6: US-31A / US-41A / NOLENSVILLE PK.",2020-12-28,3:43:15 PM,95,0,1,0,Urban,4100,DAVIDSON,I-440W,I-440,Westbound,At,EXIT 6 US-31A / US-41A / NOLENSVILLE PK.     ,6.0,36.12132956,-86.75586183,Level 1,Level 1,Level 1,48.8,0.0,Clear,nashville tennessee,2020-12-28,53.7,33.7,47.4,53.7,29.4,45.2,33.1,58.43,0.0,0.0,0.0,0.0,29.2,19.3,227.9,1025.4,67.4,9.9,2020-12-28T06:57:28,2020-12-28T16:40:38,0.49,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.75586183 36.12132956)
3848,3,5762,Vehicle Fire,"DAVIDSON on Interstate 65 Southbound, Beyond MILE MARKER 86.4",2020-12-29,10:25:25 AM,164.9166667,1,8.45,11.11666667,Urban,4165,DAVIDSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 86.4          ,86.4,36.21339639,-86.77547613,Level 2,Level 1,Level 1,35.8,0.0,Clear,nashville tennessee,2020-12-29,48.9,27.9,37.3,46.9,21.5,33.8,27.8,69.82,0.0,0.0,0.0,0.0,,8.7,69.4,1029.6,31.2,8.9,2020-12-29T06:57:45,2020-12-29T16:41:21,0.5,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.77547613 36.21339639)
3926,3,5864,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 198",2020-12-30,11:22:51 AM,51,3,6,0,Urban,4258,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 198          ,198.0,36.09787342,-86.93635812,Level 3,Level 1,Level 1,62.8,0.0,Clear,nashville tennessee,2020-12-30,66.4,35.3,55.2,66.4,29.9,54.0,43.2,65.23,0.18,16.67,0.0,0.0,34.8,22.3,177.8,1019.4,70.3,9.1,2020-12-30T06:57:59,2020-12-30T16:42:05,0.5,Rain,Partly cloudy throughout the day with late afternoon rain.,Rain,"72327013897,KJWN,KBNA,KM91,KMQY,72327313827",POINT (-86.93635811999999 36.09787342)
4162,3,6141,Vehicle Fire,"RUTHERFORD on Interstate 24 Westbound, Beyond MILE MARKER 87",2021-01-01,6:37:44 PM,6,2,0,0,Urban,4520,RUTHERFORD,I-24W,I-24,Westbound,Beyond,MILE MARKER 87          ,87.0,35.74677468,-86.33982976,Level 3,Level 1,Level 1,59.6,0.0,Clear,nashville tennessee,2021-01-01,73.8,44.2,56.8,73.8,42.0,55.8,47.4,74.24,0.49,45.83,0.0,0.0,39.5,22.4,164.8,1011.9,71.8,8.7,2021-01-01T06:58:22,2021-01-01T16:43:36,0.53,Rain,Partly cloudy throughout the day with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.33982976 35.74677468)
4441,3,6501,Vehicle Fire,"DAVIDSON on Interstate 440 Eastbound, Before MILE MARKER 5.2",2021-01-05,1:53:18 PM,7,0,0,0,Urban,4820,DAVIDSON,I-440E,I-440,Eastbound,Before,MILE MARKER 5.2          ,5.2,36.117913,-86.768498,Level 1,Level 1,Level 1,47.8,0.0,Clear,nashville tennessee,2021-01-05,51.1,34.6,43.4,51.1,32.3,40.1,31.8,65.24,0.0,0.0,0.0,0.0,23.8,12.6,268.7,1020.0,48.1,9.8,2021-01-05T06:58:44,2021-01-05T16:46:55,0.7,Clear,Clearing in the afternoon.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.76849799999999 36.117913)
4580,3,6681,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 205.6",2021-01-07,6:38:25 AM,22,0,14,-3,Urban,4973,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 205.6          ,205.6,36.155672,-86.827712,Level 1,Level 1,Level 1,35.7,0.0,Clear,nashville tennessee,2021-01-07,40.9,35.7,37.9,34.9,28.1,31.4,28.6,69.09,0.0,0.0,0.0,0.0,21.9,14.0,59.4,1019.5,80.8,9.9,2021-01-07T06:58:44,2021-01-07T16:48:41,0.82,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.82771200000001 36.155672)
4618,3,6726,Vehicle Fire,"ROBERTSON on Interstate 65 Northbound, Beyond MILE MARKER 104",2021-01-07,1:18:29 PM,355.15,2,2.35,-9.766666667,Urban,5017,ROBERTSON,I-65N,I-65,Northbound,Beyond,MILE MARKER 104          ,104.0,36.41913041,-86.71774785,Level 3,Level 1,Level 1,40.2,0.0,Clear,nashville tennessee,2021-01-07,40.9,35.7,37.9,34.9,28.1,31.4,28.6,69.09,0.0,0.0,0.0,0.0,21.9,14.0,59.4,1019.5,80.8,9.9,2021-01-07T06:58:44,2021-01-07T16:48:41,0.82,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.71774784999999 36.41913041)
4790,3,6936,Vehicle Fire,"WILLIAMSON on Interstate 40 Eastbound, At EXIT 182: SR-96 / FRANKLIN / FAIRVIEW",2021-01-10,5:55:04 AM,805,2,773,-7,Urban,5210,WILLIAMSON,I-40E,I-40,Eastbound,At,EXIT 182 SR-96 / FRANKLIN / FAIRVIEW      ,182.4,36.0329936,-87.1670175,Level 3,Level 3,Level 3,29.9,0.0,Clear,nashville tennessee,2021-01-10,37.8,29.3,32.0,37.8,21.9,27.5,20.6,62.77,0.0,0.0,0.0,0.0,,7.8,129.0,1028.3,72.4,9.9,2021-01-10T06:58:28,2021-01-10T16:51:27,0.96,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-87.1670175 36.0329936)
4813,3,6967,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Beyond MILE MARKER 57.6",2021-01-10,1:48:01 PM,"1,697",2,18,5,Urban,5235,DAVIDSON,I-24E,I-24,Eastbound,Beyond,MILE MARKER 57.6          ,57.6,36.03028291,-86.63788466,Level 3,Level 1,Level 1,36.5,0.0,Clear,nashville tennessee,2021-01-10,37.8,29.3,32.0,37.8,21.9,27.5,20.6,62.77,0.0,0.0,0.0,0.0,,7.8,129.0,1028.3,72.4,9.9,2021-01-10T06:58:28,2021-01-10T16:51:27,0.96,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.63788466 36.03028291)
5066,3,7286,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 219.8",2021-01-14,5:06:37 AM,275,1,14,-267,Urban,5520,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 219.8          ,219.8,36.16291,-86.617709,Level 2,Level 1,Level 1,32.1,0.0,Clear,nashville tennessee,2021-01-14,58.1,31.2,44.5,58.1,25.2,41.3,32.0,64.43,0.0,4.17,0.0,0.0,30.6,17.2,183.8,1009.2,42.2,9.4,2021-01-14T06:57:39,2021-01-14T16:55:19,0.01,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.617709 36.16291)
5760,3,8165,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, At MILE MARKER 216",2021-01-22,5:31:10 PM,48,2,29,0,Urban,6302,DAVIDSON,I-40E,I-40,Eastbound,At,MILE MARKER 216          ,216.0,36.14226702,-86.67682881,Level 3,Level 1,Level 1,43.5,0.0,Clear,nashville tennessee,2021-01-22,49.9,31.5,39.2,45.6,26.5,36.0,27.4,66.23,0.0,0.0,0.0,0.0,21.9,12.0,233.9,1019.1,33.0,7.3,2021-01-22T06:54:30,2021-01-22T17:03:31,0.33,Clear,Clearing in the afternoon.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.67682881 36.14226702)
5782,3,8193,Vehicle Fire,"DAVIDSON on Interstate 24 Westbound, Beyond MILE MARKER 40",2021-01-23,7:22:55 AM,27,0,0,14,Urban,6326,DAVIDSON,I-24W,I-24,Westbound,Beyond,MILE MARKER 40          ,40.0,36.28283172,-86.80521183,Level 1,Level 1,Level 1,26.6,0.0,Clear,nashville tennessee,2021-01-23,46.9,26.6,36.9,42.8,19.3,31.9,14.5,42.15,0.0,0.0,0.0,0.0,15.0,11.0,47.2,1025.3,34.0,9.9,2021-01-23T06:53:57,2021-01-23T17:04:34,0.37,Clear,Becoming cloudy in the afternoon.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.80521183 36.28283172)
5829,3,8249,Vehicle Fire,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 197.6",2021-01-23,4:58:21 PM,"2,798",3,15,-2,Urban,6376,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 197.6          ,197.6,36.09229102,-86.93872166,Level 3,Level 1,Level 1,45.6,0.0,Clear,nashville tennessee,2021-01-23,46.9,26.6,36.9,42.8,19.3,31.9,14.5,42.15,0.0,0.0,0.0,0.0,15.0,11.0,47.2,1025.3,34.0,9.9,2021-01-23T06:53:57,2021-01-23T17:04:34,0.37,Clear,Becoming cloudy in the afternoon.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.93872166 36.09229102)
